"id","name","color","group","degree","pagerank","object_id","triangles","eccentricity","closeness.centrality","betweenness.centrality","eigenvector.centrality","our.louvain"
"BOB","BOB","#1FAA54",3,13,0.0314416718700857,"5241802",36,3,1.96363636363636,368.073809523809,0,1
"TRUCKER","TRUCKER","#00B9DB",4,2,0.00946555806712501,"5242769",1,4,2.58181818181818,0,0,2
"GERARD","GERARD","#FFD12B",2,3,0.0100840525054463,"5244651",3,4,2.52727272727273,0,0,2
"NORMA","NORMA","#3E85FA",1,5,0.0185490432247021,"5242899",7,4,2.47272727272727,25.3333333333333,0,3
"DOC","DOC","#00B9DB",4,4,0.0118132665865128,"5243253",6,4,2.49090909090909,0,0,2
"OLD GUY","OLD GUY","#7A40BB",0,3,0.00910008224913996,"5240748",3,5,3.50909090909091,0,0,4
"COOPER","COOPER","#1FAA54",3,13,0.0368627313389639,"5241354",34,4,2.41818181818182,120.807936507937,0,1
"JACQUES","JACQUES","#3E85FA",1,7,0.0220901516104284,"5243865",8,4,2.27272727272727,47.6888888888889,0,2
"TERESA","TERESA","#3E85FA",1,4,0.0117846256794119,"5244729",4,4,2.49090909090909,2.41666666666667,0,2
"EILEEN","EILEEN","#00B9DB",4,4,0.0142155684623835,"5242304",6,4,2.49090909090909,0,0,2
"IRENE","IRENE","#7A40BB",0,3,0.00910008224913996,"5240668",3,5,3.50909090909091,0,0,4
"SPARKY","SPARKY","#3E85FA",1,1,0.00621122558221068,"5244431",0,5,3.43636363636364,0,0,3
"WOMAN","WOMAN","#3E85FA",1,1,0.00498720166741338,"5243103",0,4,2.61818181818182,0,0,2
"DESMOND","DESMOND","#7A40BB",0,8,0.0458584635737516,"5239961",9,4,2.6,106.712698412698,0,4
"HAROLD","HAROLD","#3E85FA",1,1,0.00498720166741338,"5242490",0,4,2.61818181818182,0,0,2
"CLIFF","CLIFF","#7A40BB",0,6,0.0174103345134919,"5240274",6,4,2.21818181818182,257.792857142857,0,4
"BOBBY","BOBBY","#3E85FA",1,4,0.016476074337584,"5242190",3,4,2.4,10.7992063492063,0,2
"MAN FROM ANOTHER PLACE","MAN FROM ANOTHER PLACE","#1FAA54",3,9,0.0241164743593281,"5241797",29,4,2.58181818181818,21.3333333333333,0,1
"JACOBY","JACOBY","#3E85FA",1,1,0.00498720166741338,"5245698",0,4,2.61818181818182,0,0,2
"SHELLY","SHELLY","#3E85FA",1,7,0.0254940084756909,"5242903",8,4,2.43636363636364,46.4777777777778,0,3
"ED","ED","#3E85FA",1,6,0.0249348559089743,"5242922",6,4,2.45454545454545,107,0,3
"RIGHT","RIGHT","#1FAA54",3,3,0.00884335484626124,"5241611",3,5,3.32727272727273,0,0,1
"TOAD","TOAD","#3E85FA",1,2,0.00892800632040642,"5243036",1,5,3.4,0,0,3
"SARAH","SARAH","#3E85FA",1,4,0.0208055141809638,"5242438",4,4,2.29090909090909,14.6,0,2
"CARL","CARL","#7A40BB",0,5,0.0203889685279446,"5240882",4,4,2.63636363636364,58.7,0,4
"JAMES","JAMES","#3E85FA",1,3,0.0141782368763958,"5242170",2,4,2.52727272727273,1.5,0,2
"LOG LADY","LOG LADY","#3E85FA",1,1,0.00498720166741338,"5243960",0,4,2.61818181818182,0,0,2
"JERRY","JERRY","#FFD12B",2,4,0.0131736272280537,"5245118",6,5,3.25454545454545,0,0,2
"BEN","BEN","#FFD12B",2,5,0.0156253467858559,"5245124",7,4,2.49090909090909,48.6,0,2
"MECHANIC","MECHANIC","#FFD12B",2,3,0.0100840525054463,"5244694",3,4,2.52727272727273,0,0,2
"COLE","COLE","#1FAA54",3,12,0.0320555758930139,"5239945",33,4,2.43636363636364,101.865873015873,0,1
"TOMMY","TOMMY","#00B9DB",4,3,0.00998654597266018,"5244120",3,4,2.56363636363636,0,0,2
"GORDON","GORDON","#1FAA54",3,3,0.00884335484626124,"5241603",3,5,3.32727272727273,0,0,1
"BUCK","BUCK","#00B9DB",4,3,0.00998654597266018,"5244115",3,4,2.56363636363636,0,0,2
"LELAND","LELAND","#FFD12B",2,13,0.0474242256976141,"5242671",20,4,2.32727272727273,121.066666666667,0,2
"ALBERT","ALBERT","#1FAA54",3,8,0.0232589672423071,"5241341",28,4,2.6,0,0,1
"PETE","PETE","#3E85FA",1,1,0.00621122558221068,"5245376",0,5,3.43636363636364,0,0,3
"GRANDSON","GRANDSON","#3E85FA",1,2,0.00808309676795178,"5242971",1,4,2.56363636363636,0,0,3
"BELLHOP","BELLHOP","#1FAA54",3,1,0.0047138777060115,"5241649",0,5,3.56363636363636,0,0,1
"BETTY","BETTY","#3E85FA",1,1,0.00498720166741338,"5245907",0,4,2.61818181818182,0,0,2
"ANNIE","ANNIE","#1FAA54",3,2,0.00638496445632533,"5243608",1,5,3.38181818181818,0,0,1
"LEO","LEO","#3E85FA",1,2,0.00812162675709254,"5243782",0,5,3.07272727272727,0.833333333333333,0,3
"NADINE","NADINE","#3E85FA",1,4,0.0147692907128876,"5242915",6,4,2.49090909090909,0,0,3
"DONNA","DONNA","#00B9DB",4,11,0.0382879304574785,"5242043",17,4,2.14545454545455,98.7833333333333,0,2
"MIKE","MIKE","#1FAA54",3,9,0.0198733561046102,"5241835",29,4,2.41818181818182,35.6666666666667,0,1
"CHET","CHET","#7A40BB",0,1,0.0048447725628676,"5241316",0,5,3.61818181818182,0,0,4
"JEFFRIES","JEFFRIES","#1FAA54",3,9,0.0215517811197063,"5241714",28,4,2.58181818181818,54,0,1
"FIRST WOODSMAN","FIRST WOODSMAN","#1FAA54",3,8,0.0176999589510772,"5241793",28,4,2.6,0,0,1
"SYLVIA","SYLVIA","#FFD12B",2,4,0.0131736272280537,"5245128",6,5,3.25454545454545,0,0,2
"CABLE","CABLE","#7A40BB",0,3,0.0125336239904546,"5240328",3,4,2.89090909090909,0,0,4
"RONETTE","RONETTE","#3E85FA",1,4,0.0114129998168432,"5244238",6,4,2.32727272727273,0,0,2
"JOHNNY","JOHNNY","#FFD12B",2,4,0.0131736272280537,"5245107",6,5,3.25454545454545,0,0,2
"LAURA","LAURA","#3E85FA",1,28,0.127647982988021,"5242036",36,3,1.63636363636364,920.810317460318,0,2
"SECOND WOODSMAN","SECOND WOODSMAN","#1FAA54",3,8,0.0176999589510772,"5241831",28,4,2.6,0,0,1
"STANLEY","STANLEY","#7A40BB",0,8,0.0356622663874873,"5240030",11,4,2.58181818181818,75.1373015873016,0,4
"JACK","JACK","#7A40BB",0,1,0.00462743040450708,"5240608",0,5,3.58181818181818,0,0,4
